Village,Taluka,Area_Acre,Soil_Type,Soil_Quality_Score,Land_Type,Irrigated,Road_Touch,Road_Width_Ft,Distance_To_Highway_KM,Water_Source,Number_Of_Owners,Unknown_Registrations,Takeover_Risk,Avg_Price_Per_Acre_Nearby,Price_Per_Acre
Adgaon,Nashik,19.48,Black_Red_Mixed,5,Agricultural,1,0,69,12.4,River,7,0,1,496000,494500
Dhodambe,Yeola,7.27,Red,5,Agricultural,1,1,96,7.3,None,7,0,0,96500,104000
Devpur,Niphad,21.06,Black_Red_Mixed,7,Agricultural,1,1,40,16.7,Well,10,5,0,236000,238000
Darna,Niphad,10.87,Red,6,Commercial,0,1,76,4.8,Borewell,3,4,0,1014500,1025000
Devdhari,Sinnar,21.12,Black_Red_Mixed,7,Residential,0,1,21,2.9,Well,10,1,0,527000,513500
Nandur,Yeola,14.4,Black,8,Commercial,1,1,33,7.3,None,5,1,0,331000,329500
Nandur,Nashik,19.32,Black_Red_Mixed,7,Agricultural,0,0,84,26,Borewell,10,0,0,460000,470000
Dwarka,Nashik,2.55,Black_Red_Mixed,7,Commercial,0,0,12,12.5,Well,2,1,0,2304000,2028000
Trimbak Road,Nashik,15.93,Black_Red_Mixed,6,Agricultural,0,0,82,19,None,2,2,1,217000,196500
Girnare,Nashik,15.1,Black,9,Commercial,0,0,12,15.6,River,4,2,0,2664500,2803000
Karanjwan,Niphad,3.68,Black,8,Agricultural,1,1,54,21.3,Canal,8,5,1,238000,241000
Nandur,Nashik,23.08,Black,8,NA,1,0,60,3.2,River,10,2,0,1382500,1364500
Watane,Niphad,10.98,Black_Red_Mixed,7,Residential,1,1,64,6.1,Well,2,3,0,617500,618500
Mhasrul,Niphad,6.51,Black_Red_Mixed,7,Agricultural,0,1,64,23.7,Well,2,1,0,229000,234500
Trimbak Road,Nashik,3.28,Black,7,Residential,0,1,51,27,Canal,7,2,0,1502500,1445500
Saikheda,Sinnar,14.13,Black_Red_Mixed,5,NA,1,1,65,9.6,Well,4,0,1,439500,415500
Pathardi,Nashik,10.68,Black,8,NA,1,0,12,8.6,Canal,10,0,1,1101500,1116500
Nandur,Nashik,1.17,Black_Red_Mixed,5,Agricultural,0,1,63,21.7,Borewell,6,3,0,416000,387500
Umrane,Yeola,15.4,Black,10,Agricultural,1,1,57,28.1,Borewell,4,0,1,124000,127500
Karanjwan,Niphad,21.57,Black_Red_Mixed,6,Agricultural,0,1,57,24.5,Canal,1,5,1,168000,148000
Deolali,Nashik,2.99,Red,3,Agricultural,1,1,58,8.2,Borewell,3,4,0,516000,553000
Vinchur,Niphad,18.89,Red,6,NA,1,1,40,17.4,Canal,5,2,0,631500,652500
Satpur,Nashik,6.78,Black,7,Agricultural,1,0,92,22.1,Borewell,2,0,1,499500,508500
Niphad,Niphad,16.84,Black_Red_Mixed,8,Agricultural,0,0,85,22.9,Canal,6,2,0,236000,252000
Khambale,Sinnar,2.87,Black,9,Agricultural,1,1,35,23.4,Borewell,5,3,0,229500,256500
Panchak,Nashik,16.3,Black,7,Residential,0,1,33,8.1,Well,9,3,0,1261500,1351000
Bhojapur,Niphad,2.33,Black_Red_Mixed,6,Agricultural,1,1,66,8.3,Borewell,7,5,1,227500,198000
Ozar,Niphad,10.22,Black_Red_Mixed,8,Agricultural,0,0,41,28.8,Borewell,1,0,0,227000,206500
Waghad,Nashik,2.75,Black,10,Agricultural,0,1,98,8.1,Borewell,4,2,0,615500,588500
Nimgaon,Yeola,18.41,Black,10,Residential,1,1,31,9.5,Borewell,3,2,1,241000,241500
Niphad,Niphad,16.73,Black_Red_Mixed,5,Agricultural,0,0,96,22.8,Borewell,6,3,0,184000,190500
Adgaon,Nashik,11.95,Black,7,NA,1,1,77,15.1,River,2,0,0,1467000,1392500
Shedbol,Yeola,12.39,Black,9,NA,0,1,55,9.1,Well,9,5,1,135000,137000
Mohadi,Chandwad,12.24,Black,7,Agricultural,1,0,28,10.8,Borewell,10,5,0,74500,70500
Mhasrul,Nashik,18.67,Black,10,NA,1,1,96,16.4,None,9,1,0,984500,942500
Mungse,Sinnar,9.93,Black_Red_Mixed,7,Agricultural,0,1,53,25,Borewell,8,4,1,128000,115500
Nimgaon,Yeola,2.98,Black,8,Agricultural,0,1,89,16.8,Borewell,8,2,0,104000,97500
Ozar,Nashik,1.26,Black,7,Agricultural,0,1,94,25,Borewell,3,2,1,399500,361500
Dhodambe,Yeola,16.72,Red,4,Commercial,1,0,35,13,None,5,1,0,229500,214000
Mangi,Chandwad,20.34,Black_Red_Mixed,8,Agricultural,1,1,48,18,Borewell,7,5,1,71500,77000
Shirasgaon,Yeola,17.16,Black,8,Agricultural,0,1,48,17,Canal,9,1,0,114500,107000
Pimpri Kadu,Chandwad,2.63,Black_Red_Mixed,7,Agricultural,1,1,55,12.9,Well,7,3,0,91000,108000
Umbarkhed,Sinnar,2.44,Black,9,Residential,1,1,89,16.3,Canal,5,0,0,600000,600000
Nandur,Nashik,16.83,Black_Red_Mixed,8,Residential,0,0,93,3.3,Canal,5,4,0,1497000,1516500
Deolali,Nashik,3.26,Black_Red_Mixed,5,Residential,1,1,73,4.2,None,3,2,0,1092500,1027000
Yeola,Yeola,20.19,Black_Red_Mixed,6,Agricultural,0,1,25,15.6,Borewell,2,3,0,86000,90000
Devdhari,Sinnar,1.63,Black,10,Agricultural,0,0,79,7.9,Canal,8,5,0,177000,170000
Nashik Road,Nashik,4.82,Red,4,Agricultural,1,1,70,14.5,Borewell,2,4,0,509000,513500
Devdhari,Sinnar,9.8,Red,6,Agricultural,1,0,68,3.7,Well,10,2,0,214500,253000
Wavi,Sinnar,11.25,Red,5,Commercial,1,1,45,0.4,Borewell,9,4,0,982000,975500
Raipur,Chandwad,9.92,Black,8,Agricultural,1,1,27,8.4,River,5,3,0,111000,120000
Umrane,Yeola,9.57,Black_Red_Mixed,6,NA,1,1,77,7.9,Canal,10,4,0,252000,239500
Devdhari,Sinnar,1.92,Black,8,Agricultural,1,1,96,14.3,River,4,0,1,246500,246000
Pimpalgaon Baswant,Niphad,18.96,Black_Red_Mixed,5,Agricultural,0,0,19,13.3,Well,1,1,0,181000,203500
Devdhari,Sinnar,3.55,Black_Red_Mixed,6,Agricultural,1,1,38,6.1,Borewell,9,1,0,266500,255000
Chandori,Niphad,5.29,Red,3,Agricultural,1,1,19,10.3,Canal,9,3,0,278500,314000
Watane,Niphad,12.65,Black,8,Residential,1,1,19,17.1,Borewell,9,2,0,645000,677000
Deolali,Nashik,15.14,Black,8,Residential,0,1,59,21.1,Borewell,3,2,0,1453000,1396000
Khambale,Sinnar,23.31,Black_Red_Mixed,8,NA,1,1,84,14.2,None,5,5,0,316500,330500
Pathardi,Nashik,5.21,Red,3,Agricultural,1,1,94,27.4,Borewell,8,0,1,485000,518000
Wavi,Sinnar,17.65,Red,3,Agricultural,0,1,88,27.9,None,8,1,0,105000,109500
Lasalgaon,Niphad,12.54,Black,9,Agricultural,0,1,39,0.7,Borewell,4,4,0,297500,265000
Nashik Road,Nashik,13.92,Black,10,NA,1,1,27,3.6,Borewell,10,2,0,1591500,1510500
Deolali,Nashik,6.14,Black,7,Agricultural,1,1,78,17.1,None,1,5,0,349000,343000
Lasalgaon,Niphad,3.39,Black,7,Agricultural,1,1,47,4,Well,2,5,0,281500,280000
Waghad,Nashik,5.35,Black_Red_Mixed,7,Residential,1,1,48,28.2,River,5,5,0,1318000,1375500
Savargaon,Chandwad,17.52,Black_Red_Mixed,5,Agricultural,1,1,72,8.5,Borewell,3,4,0,92500,93500
Karanjkhed,Yeola,3.29,Black_Red_Mixed,6,Agricultural,0,1,68,28.6,Borewell,1,2,0,91000,82500
Satpur,Nashik,1.73,Red,6,Agricultural,1,1,15,6.8,Well,7,4,0,527000,541000
Waghad,Nashik,19.13,Red,7,Residential,0,1,43,24.3,Canal,1,2,0,1492500,1556500
Umbarkhed,Sinnar,19.62,Red,3,Residential,1,1,96,8.7,None,9,3,0,293500,305000
Dhodambe,Yeola,6.69,Red,6,Residential,1,0,11,8.5,Canal,5,0,1,211000,227000
Nimgaon,Yeola,8.6,Black,9,Agricultural,1,1,87,0.5,Well,6,2,1,137500,145500
Nashik Road,Nashik,11.14,Black_Red_Mixed,7,Agricultural,1,0,17,17.4,Borewell,10,4,0,457000,471500
Vadner,Niphad,6.64,Red,5,Residential,0,1,28,26.2,Canal,4,0,0,627000,624000
Mhasrul,Niphad,21.55,Black_Red_Mixed,5,NA,0,1,43,29.3,Borewell,6,4,0,375000,331500
Chandanpuri,Sinnar,2.95,Black_Red_Mixed,5,Agricultural,0,1,57,24.9,Canal,2,5,0,147500,152000
Nashik Road,Nashik,8.33,Red,5,Commercial,1,1,47,18.7,Borewell,1,2,1,2389500,2424000
Chandwad,Chandwad,2.88,Black,9,Agricultural,1,1,84,21.4,None,7,4,0,64500,65500
Pimpri,Yeola,19.12,Black_Red_Mixed,5,Commercial,1,1,83,18.9,River,9,5,0,367000,334000
Harsul,Chandwad,15.28,Black_Red_Mixed,8,Agricultural,0,1,41,9.9,River,6,1,0,94500,87500
Pachegaon,Yeola,17.4,Black_Red_Mixed,8,Agricultural,1,1,56,19.6,Canal,8,3,0,132500,142500
Shirasgaon,Yeola,23.16,Black,10,NA,1,1,46,10.3,Borewell,7,3,0,269000,268500
Watane,Niphad,15.91,Red,4,Residential,0,0,43,23,River,8,5,0,375500,393500
Pimpri Kadu,Chandwad,0.84,Black,7,Agricultural,1,1,64,10.7,Well,9,1,0,105000,105000
Karanjwan,Niphad,14.89,Black_Red_Mixed,5,Agricultural,1,1,62,19,River,7,2,0,301500,302000
Pimpalgaon Rotha,Yeola,18.16,Black_Red_Mixed,5,Agricultural,0,1,96,19.5,Well,8,1,0,88000,94000
Saikheda,Sinnar,6,Black_Red_Mixed,5,NA,1,1,64,8.6,Well,3,1,0,515500,497000
Kalwan,Chandwad,10.91,Black,9,Agricultural,0,0,45,14.7,Borewell,3,2,1,59500,60000
Girnare,Nashik,18.9,Red,5,Agricultural,0,1,31,0.9,None,9,4,0,327000,316500
Niphad,Niphad,9.4,Black,10,Residential,1,1,47,27.5,River,2,3,1,569500,552000
Satpur,Nashik,21.65,Red,3,Commercial,1,1,38,21.8,Well,9,2,0,2409000,2357000
Khambale,Sinnar,16.88,Black,9,Residential,0,0,100,23.8,Well,9,5,1,280000,284500
Sinnar,Sinnar,6.34,Black_Red_Mixed,6,NA,0,0,33,22,Borewell,4,5,1,223500,216000
Kalwan,Chandwad,0.33,Black,8,Residential,0,1,88,11.5,Canal,6,3,0,211500,230000
Umrane,Chandwad,21.06,Red,6,Agricultural,1,1,79,14.5,Borewell,2,2,0,102000,95500
Adgaon,Nashik,16.64,Black,10,Commercial,1,1,60,21.2,River,8,3,0,3519000,3473000
Sinnar,Sinnar,7.45,Black_Red_Mixed,8,Agricultural,1,0,50,12.4,River,7,3,0,212500,206000
Watane,Niphad,18.27,Black,7,Agricultural,1,1,31,16.1,River,2,4,0,286500,315500
Bhojapur,Niphad,0.74,Black_Red_Mixed,8,Agricultural,1,1,80,2,Borewell,4,2,0,400000,400000
Talegaon,Chandwad,10.04,Black_Red_Mixed,7,Residential,1,1,37,16.6,Borewell,1,0,1,184500,198000
Dhodambe,Yeola,2.79,Black,10,Agricultural,0,0,90,23.2,Borewell,5,5,0,78000,70000
Pimpri,Yeola,3.5,Black_Red_Mixed,7,Residential,0,1,100,22.9,Well,1,5,1,151000,154000
Pandavleni,Sinnar,2.62,Black_Red_Mixed,8,Agricultural,1,1,51,12.8,River,5,2,0,262500,279000
Darna,Niphad,11.92,Black,7,Agricultural,1,0,46,27.2,Canal,4,3,0,264500,266000
Nandur,Nashik,23.8,Red,3,Agricultural,1,0,39,13.5,Well,2,5,0,347500,373500
Palkhed,Niphad,2.61,Black,10,NA,0,1,70,15.7,River,4,0,0,624500,602000
Anandwalli,Nashik,18.58,Red,3,Agricultural,1,1,10,8.1,Borewell,9,3,0,524000,575500
Adgaon,Nashik,8.22,Black_Red_Mixed,5,Commercial,1,0,26,22.7,Borewell,2,1,0,2559500,2971500
Nandgaon,Chandwad,1.22,Black_Red_Mixed,6,NA,1,0,80,12.6,Borewell,2,3,1,134000,130500
Kadwa,Yeola,13.18,Black_Red_Mixed,7,NA,0,0,97,6.2,Canal,6,4,0,182500,177000
Mhasrul,Nashik,23.42,Red,4,Agricultural,1,1,50,12.5,Borewell,2,0,0,635000,699500
Chandori,Niphad,13.56,Black,7,NA,1,0,91,16.8,Borewell,1,1,0,577500,641500
Khamgaon,Yeola,14.72,Black,10,Commercial,1,1,35,2.4,Borewell,4,2,0,500000,481500
Pandavleni,Sinnar,19.97,Black_Red_Mixed,8,Agricultural,1,1,45,29,River,10,5,1,167000,162000
Niphad,Niphad,19.64,Red,3,Commercial,1,0,70,26.3,Well,1,1,0,808500,792500
Kotamgaon,Nashik,8.35,Black_Red_Mixed,5,Agricultural,1,1,100,14.3,Well,9,2,0,562500,509500
Kalwan,Chandwad,23.9,Red,5,Residential,1,1,72,20.9,Borewell,2,4,1,139500,130500
Mulegaon,Sinnar,0.88,Black,10,Residential,0,1,88,16.8,None,4,3,0,332500,309000
Chandwad,Chandwad,5.1,Black,8,Agricultural,0,0,57,27.5,Canal,1,4,0,65500,62000
Malegaon,Sinnar,10.11,Red,5,Agricultural,0,1,13,25.9,None,10,5,0,84500,84500
Bhojapur,Niphad,20.23,Black,7,NA,1,1,32,26.1,Borewell,7,0,0,655500,666000
Nandur Madhyameshwar,Sinnar,8.03,Red,5,Commercial,0,1,12,10,Canal,6,5,0,668000,740500
Deher,Chandwad,13.03,Red,6,Agricultural,1,0,34,24.8,Canal,5,0,0,96000,89500
Kasarwadi,Niphad,5.17,Black_Red_Mixed,6,NA,1,1,49,8.3,Well,6,3,0,544000,581500
Jategaon,Sinnar,23.27,Black,7,Agricultural,0,1,90,29,River,1,1,0,199000,196000
Adgaon,Nashik,7.87,Black_Red_Mixed,6,Residential,1,1,58,21.2,Borewell,3,4,0,1312500,1308000
Mhasrul,Nashik,7,Black,9,Agricultural,1,0,55,17.4,Well,9,3,1,409500,429000
Mulegaon,Sinnar,1.16,Red,6,Agricultural,1,1,65,10.5,River,5,1,0,266500,245500
Talegaon,Chandwad,20.79,Red,3,Agricultural,0,0,43,1,Borewell,3,3,0,68500,70500
Chandanpuri,Sinnar,14.2,Black_Red_Mixed,5,Agricultural,0,1,11,4.8,Well,6,5,1,116500,118000
Devpur,Niphad,7.83,Black_Red_Mixed,6,Residential,1,1,85,17.3,Well,7,3,1,449500,465000
Peth,Nashik,15.12,Black_Red_Mixed,8,Agricultural,1,1,74,3.3,Well,5,4,0,652000,665000
Mhasrul,Niphad,4.37,Black,8,Commercial,1,0,94,10.1,None,2,2,0,713500,836000
Devpur,Niphad,11.6,Black,7,NA,0,0,49,2.5,Borewell,4,3,0,468000,447000
Waghad,Nashik,21.18,Black,10,Agricultural,0,1,60,21,None,7,3,0,328500,316500
Pachegaon,Yeola,9.84,Black,8,Agricultural,0,0,96,21.9,Well,7,4,0,71500,68500
Panchak,Nashik,0.92,Red,4,Residential,1,1,10,18.4,River,2,5,0,1130000,1086000
Deolali,Nashik,5.48,Black_Red_Mixed,7,Agricultural,0,0,49,11.7,River,1,2,1,367000,350500
Dwarka,Nashik,10.11,Black_Red_Mixed,5,Agricultural,0,1,22,19.7,Well,1,1,0,410500,444500
Devdhari,Sinnar,17.24,Black,10,Agricultural,0,1,91,3.6,River,8,4,0,233000,256000
Trimbak Road,Nashik,21.14,Red,3,Residential,1,1,59,26.1,Borewell,1,2,1,1060000,1017500
Kadwa,Yeola,5.14,Red,6,Agricultural,1,0,72,13.9,Borewell,10,5,0,89500,84500
Anandwalli,Nashik,19.23,Black,9,Agricultural,1,0,51,9,Borewell,2,2,0,622500,643000
Devdhari,Sinnar,6.4,Black,7,Agricultural,0,1,45,10.4,Well,10,1,1,150500,144500
Raipur,Chandwad,14.33,Black,9,Agricultural,0,1,91,24.4,Borewell,9,5,0,71000,74000
Umrane,Chandwad,10.71,Black,9,Residential,1,0,65,29,River,10,2,1,162500,165000
Chinchpada,Sinnar,21.39,Black,7,Agricultural,1,1,65,8.3,Canal,3,2,0,282000,252000
Pimpalgaon Baswant,Niphad,22.77,Black_Red_Mixed,7,Agricultural,0,1,94,4,Borewell,10,5,0,248000,275000
Nashik Road,Nashik,17.8,Black,9,Residential,1,1,63,19.1,Well,7,3,1,1181000,1329500
Karanjwan,Niphad,8.16,Red,4,Agricultural,1,0,99,5.2,Well,7,0,0,291500,279000
Wadivarhe,Sinnar,15.88,Black_Red_Mixed,7,Agricultural,1,1,48,8.8,Well,8,0,0,257000,250000
Wavi,Sinnar,8.95,Black_Red_Mixed,5,Residential,0,1,40,11.3,Canal,7,4,1,346000,353000
Pimpalgaon Baswant,Niphad,5.65,Red,7,Agricultural,1,1,61,16.5,Well,4,3,1,224500,230000
Peth,Nashik,15.85,Black_Red_Mixed,7,Agricultural,1,0,61,14.9,Well,8,1,1,434000,454000
Saundane,Niphad,0.33,Red,6,NA,1,0,84,19.6,None,7,1,0,356000,406000
Pandavleni,Sinnar,15.34,Black_Red_Mixed,5,NA,1,1,51,18.3,Borewell,8,5,0,409500,404500
Girnare,Nashik,22.12,Black_Red_Mixed,6,Residential,0,1,40,5.3,None,4,2,0,974000,919500
Niphad,Niphad,5.37,Black_Red_Mixed,6,NA,1,0,32,29.2,Canal,2,4,1,382000,345000
Pimpalgaon Dohe,Chandwad,6.31,Black_Red_Mixed,5,Agricultural,0,1,76,29.9,None,2,3,1,36000,34000
Talegaon,Chandwad,3.24,Red,7,Residential,1,1,17,8.9,Well,1,2,0,190500,190000
Thergaon,Chandwad,10.86,Black,8,Residential,1,1,24,21.7,Well,6,1,1,162500,183000
Karanjkhed,Yeola,6.8,Black,7,Agricultural,1,1,43,10.3,Canal,6,3,0,135000,130000
Wavi,Sinnar,1.13,Black,9,Agricultural,1,1,47,9.3,River,10,5,0,235500,239000
Nimgaon,Yeola,4.07,Red,4,Agricultural,0,1,91,6.9,None,10,2,0,64500,64500
Devpur,Niphad,18.1,Black_Red_Mixed,8,Agricultural,1,1,92,4.8,None,6,4,0,228500,247500
Borgaon,Chandwad,16.3,Red,6,Agricultural,1,0,18,10.3,Well,4,1,0,82000,96500
Pachegaon,Yeola,16.34,Black,10,NA,1,0,77,27,River,6,5,0,205500,198000
Mungse,Sinnar,12.81,Black,7,Commercial,0,1,41,7.4,River,3,5,1,604000,583500
Mangi,Chandwad,17.32,Black_Red_Mixed,5,Commercial,0,0,34,22,None,3,4,0,144500,155000
Tambepada,Niphad,14.75,Black_Red_Mixed,8,Agricultural,1,0,91,2.3,Well,8,0,0,366000,383500
Darna,Niphad,5.57,Black_Red_Mixed,5,NA,1,0,66,23.3,Borewell,10,3,1,374000,422500
Vadgaon,Nashik,15.13,Black_Red_Mixed,6,Agricultural,1,0,92,9.1,None,4,2,0,378000,393500
Tarsa,Sinnar,15.74,Black,8,Agricultural,0,1,70,14.9,Borewell,7,5,0,161500,157500
Thergaon,Chandwad,8.73,Black_Red_Mixed,6,Agricultural,0,0,49,15.1,Well,9,3,0,56000,58500
Girnare,Nashik,5.45,Black_Red_Mixed,7,Agricultural,1,1,30,18.3,Borewell,9,3,0,575500,620000
Kadwa,Yeola,5.91,Black,9,Agricultural,0,1,50,13.5,Well,7,3,0,92000,97500
Harsul,Chandwad,24.22,Black,8,Commercial,1,0,100,6.1,Canal,5,2,1,321500,333000
Thengode,Niphad,19.83,Black,8,Residential,1,1,45,3.3,Borewell,6,5,0,657000,706000
Umrane,Yeola,23.81,Red,6,NA,1,1,45,29.6,Canal,1,0,0,276500,299000
Waghad,Nashik,9.39,Red,3,Agricultural,1,0,62,24.7,None,10,2,0,290000,318000
Shirsathe,Sinnar,6.32,Black_Red_Mixed,7,NA,1,1,27,23.2,Borewell,6,2,1,422500,441500
Mhasrul,Nashik,4.81,Black_Red_Mixed,8,Agricultural,0,1,43,7.7,River,1,1,0,602000,595000
Nandur,Nashik,20.2,Red,7,Agricultural,1,1,82,13.2,Borewell,9,2,0,663000,670000
Panchak,Nashik,8.51,Black,7,NA,1,1,78,4.8,Canal,2,4,1,1147000,1244000
Kherwadi,Sinnar,18.86,Red,6,Residential,1,1,29,19.5,Borewell,10,2,0,479500,452000
Khamgaon,Yeola,22.26,Black_Red_Mixed,7,Agricultural,1,0,38,9.7,Borewell,4,4,0,100000,102500
Ozar,Nashik,16.43,Black,9,Residential,1,1,34,23.2,Borewell,3,0,0,1795000,1745500
Nandur Madhyameshwar,Sinnar,19.54,Black_Red_Mixed,5,Agricultural,0,0,36,6.1,Borewell,5,1,1,137000,137500
Devpur,Niphad,0.93,Red,6,Agricultural,1,0,36,11.5,Well,7,1,0,255000,278000
Ambad,Nashik,2.55,Black,7,Agricultural,0,1,87,10.8,None,7,1,0,361500,366500
Mhasrul,Niphad,9.16,Black,7,Commercial,0,1,63,12.1,None,6,2,1,570500,572500
Khamgaon,Yeola,23.66,Black_Red_Mixed,6,Commercial,0,1,59,26.3,Borewell,5,5,0,325000,294000
Gangapur,Nashik,21.22,Black,7,Agricultural,0,1,14,1.9,River,5,2,0,608500,640500
Khamgaon,Yeola,4.52,Red,4,Residential,1,0,24,23.6,Borewell,4,2,0,185500,194000
Pathardi,Nashik,15.64,Black,7,Agricultural,1,0,28,27.4,Borewell,7,4,0,448500,516500
Chandori,Niphad,0.62,Red,3,Agricultural,0,1,69,29.5,None,9,3,0,123000,120500
Sinnar,Sinnar,7.96,Black_Red_Mixed,7,Agricultural,1,1,88,20.1,Borewell,8,5,1,164000,166500
Pandavleni,Sinnar,5.68,Black,8,Agricultural,0,0,61,8.5,Canal,4,1,0,202500,206000
Nimgaon,Yeola,8.38,Red,7,Agricultural,1,1,26,9.9,Well,3,4,0,105500,117000
Saptashringi,Chandwad,15.89,Red,4,Agricultural,1,1,40,4.9,Well,10,3,0,89000,88500
Panchak,Nashik,10.29,Red,6,NA,1,0,45,19.7,Canal,6,2,1,882500,899500
Karanjwan,Niphad,20.22,Black_Red_Mixed,8,NA,1,1,76,8,River,7,5,0,611500,637500
Saikheda,Sinnar,5.87,Black_Red_Mixed,5,Agricultural,1,0,54,9.3,Well,2,4,0,162000,164000
Dhodambe,Yeola,5.07,Red,4,Residential,0,1,77,18.1,Borewell,9,4,0,187000,181000
Chinchpada,Sinnar,5.95,Red,7,Agricultural,0,1,91,19.1,Canal,3,4,1,147000,149000
Kherwadi,Sinnar,7.14,Red,6,Agricultural,1,1,70,14.1,Borewell,5,0,0,260500,280000
Nimgaon,Yeola,5.42,Black_Red_Mixed,5,Agricultural,1,0,30,23,River,4,3,0,92500,86000
Devdhari,Sinnar,14.89,Black,9,Agricultural,1,0,61,3.8,River,3,1,0,287500,290000
Mungse,Sinnar,0.52,Black,9,Agricultural,1,1,39,19.8,Borewell,2,4,0,219500,208500
Satpur,Nashik,22.04,Red,5,Residential,1,0,42,3.5,Well,10,1,1,1121500,1215500
Malegaon,Sinnar,19.02,Black,7,Agricultural,1,1,56,7.3,River,8,5,1,186500,166500
Ambad,Nashik,21.66,Black,9,Commercial,1,1,95,25.1,None,2,0,0,2577500,2476500
Vithapur,Yeola,14.75,Black,10,NA,0,1,100,14.7,Canal,10,3,0,228500,234500
Saptashringi,Chandwad,1.29,Black,7,NA,0,1,56,17.4,River,10,3,1,124000,137500
Manur,Yeola,8.85,Red,6,NA,1,1,90,22.4,Well,1,1,0,232000,231000
Karanjwan,Niphad,2.7,Red,3,Residential,1,0,97,10.4,None,4,2,0,328500,315500
Kasbe Sukene,Niphad,17.55,Black_Red_Mixed,6,Agricultural,1,1,51,22.2,River,3,3,1,238000,269500
Girnare,Nashik,13.57,Red,4,Agricultural,0,1,21,19.2,Well,8,5,0,311000,279500
Pathardi,Nashik,21.44,Black_Red_Mixed,7,Residential,1,1,31,9.8,Borewell,10,2,1,1289000,1090500
Chandrapur,Yeola,7.58,Black_Red_Mixed,6,Agricultural,1,0,21,21.4,None,7,2,0,63500,65500
Peth,Nashik,10.07,Red,3,Residential,1,1,47,18.4,None,6,1,0,887000,856000
Bhojapur,Niphad,4.09,Red,3,Agricultural,1,1,41,26.3,Well,4,1,0,244500,227000
Nashik Road,Nashik,21.47,Black_Red_Mixed,8,Agricultural,1,1,62,5.7,Canal,7,5,0,680500,714000
Saptashringi,Chandwad,18.73,Black_Red_Mixed,7,Residential,0,1,40,9.7,Well,3,2,1,144000,146500
Mangi,Chandwad,19.94,Black_Red_Mixed,5,Commercial,1,1,70,16.1,Borewell,10,1,0,353500,339500
Chandrapur,Yeola,20.57,Black,9,NA,0,1,73,17.8,Borewell,3,0,0,229500,209000
Nandur Madhyameshwar,Sinnar,22.42,Black_Red_Mixed,6,Agricultural,1,1,45,17.1,None,1,5,0,122000,129500
Gangapur,Nashik,24.66,Black,10,Agricultural,1,1,39,17.1,None,7,1,0,476000,497500
Kelzar,Chandwad,8.03,Black,7,Residential,1,0,19,18.5,Canal,3,5,0,152500,151500
Pimpalgaon Dohe,Chandwad,20.93,Black,10,Residential,0,0,61,17.3,None,7,3,0,111000,125500
Trimbak Road,Nashik,4.78,Black,8,Residential,1,1,33,7.9,Borewell,6,5,0,1397500,1293000
Ambad,Nashik,13.22,Black,7,Commercial,0,1,31,0.2,None,1,0,0,2820000,2519000
Panchak,Nashik,14.19,Red,4,Agricultural,1,0,37,29.3,Borewell,3,4,0,399000,379500
Kasbe Sukene,Niphad,17.73,Red,4,Agricultural,1,1,89,1.3,Canal,2,2,1,326500,325500
Vadner,Niphad,14.86,Black,7,Agricultural,1,1,53,28.1,None,9,3,0,186500,189500
Talegaon,Chandwad,1.87,Black,8,Agricultural,1,0,61,1.3,Borewell,8,5,0,97500,96000
Pachegaon,Yeola,21.23,Black,9,Commercial,1,1,76,11.9,Canal,4,2,0,500000,500000
Mhasrul,Nashik,7.5,Black_Red_Mixed,8,Agricultural,0,0,23,9.7,Well,7,2,0,404000,368500
Nimgaon,Yeola,19.33,Black_Red_Mixed,5,Agricultural,0,1,83,16.3,Canal,1,4,0,89000,98000
Saptashringi,Chandwad,4.91,Red,3,Residential,1,1,75,15.8,Borewell,6,5,0,148000,147000
Nandgaon,Chandwad,11.57,Black,8,Residential,0,0,36,17.2,Canal,1,3,0,167000,180000
Tarsa,Sinnar,0.37,Black,9,Commercial,1,1,57,27.5,Well,3,1,0,925500,947500
Pale,Sinnar,22.08,Black_Red_Mixed,7,Agricultural,1,1,44,12.3,Borewell,7,3,0,228500,236000
Borgaon,Chandwad,6.52,Black,10,Agricultural,1,0,98,6.8,Canal,2,1,1,107500,112000
Dwarka,Nashik,13.54,Black,9,Commercial,1,1,46,16.1,Borewell,10,2,0,3417000,3524000
Ozar,Niphad,23.77,Black_Red_Mixed,8,Agricultural,1,0,71,3.4,Borewell,7,1,0,361500,378000
Wadivarhe,Sinnar,6.23,Black_Red_Mixed,8,Residential,1,1,94,28,River,4,1,0,600000,600000
Niphad,Niphad,23.73,Black,9,Commercial,1,0,92,1.8,Well,5,4,0,1118500,1134000
Ozar,Niphad,8.56,Black_Red_Mixed,5,Residential,0,0,77,8.7,Borewell,9,2,0,499000,524000
Umbarkhed,Sinnar,13.07,Black,8,Residential,0,0,23,20.6,Borewell,1,4,0,354000,352000
Panchak,Nashik,3.21,Black,7,NA,0,1,70,28.1,Canal,5,5,0,851500,937500
Adgaon,Nashik,17.15,Black_Red_Mixed,7,Commercial,1,1,29,13.7,None,4,1,0,2158000,2056000
Pimpri,Yeola,24.98,Red,5,Residential,1,0,15,13.9,River,9,1,1,177000,199500
Devpur,Niphad,5.4,Black_Red_Mixed,8,Agricultural,1,1,69,11,Well,7,1,0,335500,334500
